alpha,beta,gamma,delta,epsilon
25.5839,65.3249,64.5047,71.1598,68.8357
27.2947,45.1487,54.9916,58.1804,72.5067
59.0458,71.2965,67.9809,69.4325,67.6559
38.6272,60.4609,48.7633,73.439,62.5453
27.752,63.9616,50.0703,72.4503,73.8421
57.0008,38.5547,65.4133,59.8023,68.9591
32.7086,44.2747,53.5,54.5714,66.6874
20.5207,59.5774,45.7221,55.9942,78.6063
56.7961,48.103,59.4141,70.1838,53.8145
35.4477,33.2,50.3066,54.3482,62.9906
56.7257,57.3869,73.9899,73.4604,61.2789
68.9505,36.8748,63.1743,65.1767,64.0821
68.6855,62.696,50.4923,59.4654,72.1054
65.0908,61.0593,59.5002,61.7585,79.4415
23.9946,54.9904,70.8019,60.4545,75.9124
54.725,50.7907,55.5985,62.3973,69.7521
55.3784,61.8727,53.39,72.971,71.3627
58.8523,66.3083,67.8761,67.0769,67.5559
29.0572,33.4924,43.2423,68.7325,76.6352
63.0537,43.8817,45.6033,61.7932,70.8695
57.9209,41.1064,64.4986,67.3977,74.5084
63.7986,58.1072,61.6488,61.1478,72.0327
35.7258,37.9352,44.2656,55.1508,72.7542
20.4286,54.9764,60.2893,58.0972,65.1114
66.5685,35.3939,44.8427,56.4089,76.6836
24.5168,61.441,68.6126,75.9877,68.2616
31.064,60.807,69.1866,64.5291,69.895
54.2591,56.8366,47.4612,72.5582,62.2222
38.7927,68.255,55.4094,62.0471,60.3032
60.2669,46.8629,52.1525,71.5235,70.0858
34.4014,65.051,45.8986,65.0763,62.2462
66.3912,46.7992,48.4612,68.8573,67.5507
24.9018,38.2576,63.181,49.8328,70.5155
59.5021,42.5224,59.9302,65.3616,73.8641
35.5152,57.6495,60.6877,61.9225,61.8926
60.8233,44.3513,54.4319,63.0899,81.2221
31.5984,53.405,62.6583,67.0458,71.2571
18.9335,52.4063,45.1226,61.3119,70.0457
64.7096,41.8047,50.0736,55.7295,70.2932
59.7584,32.1411,44.7746,56.3584,69.8954
27.1055,75.1879,62.7705,58.6864,70.6871
31.7025,71.9926,71.2913,59.0644,73.1085
27.6381,65.8938,63.1658,70.3511,62.0723
30.3572,61.9902,63.6386,64.7835,71.4756
22.8422,43.0529,54.9726,63.041,69.6066
31.1051,72.2462,51.6276,58.7529,69.5012
18.9597,65.2228,57.5175,62.7417,65.947
54.9348,62.363,42.4569,59.998,68.8357
63.7926,60.0781,61.3084,71.7949,71.3667
28.3313,41.8693,50.1496,63.6711,78.3176
63.2139,57.3345,46.9938,56.8388,76.577
22.8205,63.8109,44.369,64.5168,65.5994
31.9767,61.5156,40.3561,52.3769,61.8485
63.0979,33.1613,54.0917,56.2244,74.3647
29.7874,64.3082,49.8565,51.6287,62.2367
27.1817,34.6886,60.0577,68.8941,77.6574
29.3014,40.9635,74.2682,57.9532,68.0837
62.409,45.1295,49.5963,76.6661,73.3673
61.2362,69.9873,64.5894,60.3339,79.1608
62.464,40.6807,51.5915,61.4266,77.9563
59.6168,51.08,62.4546,60.7792,68.035
58.2263,62.9245,47.6053,56.5428,56.9976
35.9806,39.695,68.9785,63.4574,74.5812
30.0984,35.4376,63.199,66.2414,68.1728
30.17,41.2272,50.9046,52.3332,70.9868
32.5667,57.047,64.3462,71.0439,76.1322
24.0943,35.4872,54.0648,63.5095,63.4007
43.4467,39.4523,70.7122,64.7535,73.2655
65.806,38.0464,66.5813,60.6995,67.1141
55.6414,66.7801,57.1722,56.998,71.4758
19.0825,41.6314,57.3231,68.2169,62.0215
55.172,34.6701,64.5729,62.0926,76.9306
55.2789,43.372,67.5402,69.1322,66.1655
27.3771,63.4808,53.3728,70.3689,73.7462
59.7028,36.9502,59.3628,61.2098,68.6968
33.753,65.7551,52.0475,67.1404,64.6774
57.256,70.9024,41.6039,65.9832,68.9646
64.3833,59.1442,60.3324,65.2776,74.0356
31.5375,32.4915,65.4805,74.5187,70.0908
70.7225,39.2604,45.5087,60.4557,70.1963
24.9102,33.0958,63.1097,49.955,63.473
59.577,38.987,59.4454,61.7861,75.5258
67.6849,62.2865,48.7862,69.4186,78.3698
71.8293,39.9074,72.1293,69.1957,61.5414
64.2506,41.8432,48.7365,60.8893,72.6356
27.4248,66.4608,54.1162,67.128,72.6514
55.8121,61.0804,65.7772,62.2006,67.4696
31.0528,63.0041,56.6784,65.1505,71.8987
29.6471,35.1483,61.9878,64.3235,63.9699
29.7216,57.9003,66.7709,78.4434,63.8787
58.5849,46.2881,66.8177,66.0238,71.3991
33.2858,57.6732,62.9699,52.2565,67.477
34.4823,62.6807,48.4261,65.4234,64.1002
36.1283,34.5718,68.1333,48.5592,71.3487
66.0779,56.3661,52.0837,66.3992,71.8644
40.1439,54.8382,69.3132,54.6998,64.8518
52.4981,70.1739,51.7287,65.1073,66.1552
56.7444,60.8764,43.4723,68.4824,71.5663
60.0638,43.6027,47.2543,61.2188,66.0065
36.9979,67.2328,64.7615,58.0483,81.4872
29.3919,58.3661,71.5389,59.7253,66.6755
37.6849,63.9234,68.205,59.6606,73.2447
28.4073,65.6031,50.2005,68.2751,67.6288
56.5254,59.4907,53.5337,59.7037,68.8432
33.8759,69.592,55.7923,66.2247,69.2442
24.9434,50.8567,60.6366,67.6042,59.3763
60.4239,39.2411,66.406,68.6706,69.0484
38.1144,54.5245,50.7115,63.6541,77.186
72.209,40.2949,56.4187,66.4501,66.9059
27.7848,39.1363,50.1449,65.041,76.8734
54.7042,39.4504,65.7796,62.4541,65.6086
25.4286,38.9711,59.2442,65.8379,75.5492
37.0348,65.6714,65.9642,66.9633,63.833
65.648,38.3341,47.2754,57.9399,71.7016
30.5564,40.7621,49.3986,67.8924,66.8752
52.9506,58.1354,57.1068,58.17,66.2171
58.0932,62.9497,56.6875,64.4779,82.0449
62.4836,55.748,71.6451,73.9572,75.984
61.3434,52.9347,48.4711,57.9098,64.9047
58.996,61.1942,51.7553,58.8318,77.7557
57.8918,59.5331,47.7807,58.1712,71.2253
68.7391,68.3461,48.7807,54.4948,76.0232
28.6527,47.243,59.8939,59.8919,67.5306
35.4286,37.8735,52.645,59.8437,74.0087
69.7476,57.4661,45.7012,55.2693,65.3055
31.738,47.4013,66.9007,60.782,71.335
33.9253,59.6266,62.3391,60.3769,75.3054
61.597,67.4906,68.5126,67.8655,68.0161
60.3063,67.7167,71.5324,56.6692,62.9003
59.1282,59.319,64.1331,55.5568,70.0117
65.1687,61.9754,43.9673,61.1711,67.2638
59.0148,41.7718,65.442,63.0469,70.6137
55.627,27.7249,62.9274,66.6386,74.6555
19.6915,44.2977,60.3143,70.0014,64.9662
34.3812,46.5426,59.4583,59.642,71.6971
21.6089,61.3376,65.5038,71.2486,68.581
60.5493,65.0669,42.0168,51.4168,75.5651
56.7196,59.8256,46.7029,65.0714,66.1119
66.8727,40.2284,46.8789,54.7847,72.2822
18.5001,44.8685,45.0578,58.1635,63.6099
56.2277,33.5256,56.3413,65.6148,76.0377
56.9029,46.9427,43.8112,59.0843,66.3264
31.6666,35.097,50.4751,62.3818,69.2664
65.9442,70.6027,66.4258,61.2085,66.1771
68.5144,36.3866,48.2823,57.4985,68.9831
34.0142,62.5454,70.9535,58.8837,72.5606
26.969,67.8276,60.8486,50.3686,73.6678
31.5808,38.3427,65.6609,67.1559,67.6768
28.0821,56.4524,45.3123,50.7746,68.1791
22.4772,59.6156,50.3574,55.2155,73.2027
57.652,63.1941,55.7559,62.4471,70.7202
54.1571,61.2451,65.9451,54.9597,69.4624
32.1003,46.681,65.6316,65.5183,68.8976
58.2103,36.8365,66.7677,68.8333,76.9655
33.3163,43.3705,55.0445,64.0451,68.077
59.6372,41.2442,69.6051,71.4782,70.2643
27.7043,42.1806,54.2729,69.8006,64.5205
42.3333,64.6542,61.1917,68.005,65.0915
52.5904,65.4147,53.1547,60.0102,75.4819
29.5907,56.3832,50.4925,59.832,71.0878
65.0611,39.301,43.3358,49.0647,71.5749
33.0693,62.6384,41.7775,66.1436,60.1617
31.9223,61.3573,53.4946,57.3568,65.6129
64.9107,41.5123,61.4326,64.4047,64.8457
26.6576,56.6562,62.8018,63.8192,61.99
23.6667,58.6181,70.1812,57.9145,75.3442
31.0548,34.6142,62.1606,63.9991,68.9295
28.8423,36.5815,66.8901,69.8773,65.0051
49.6377,56.9054,42.3809,65.5735,63.3392
51.8932,40.1963,59.0844,54.435,66.5374
21.8491,40.6012,69.1648,70.8601,66.299
54.8028,38.7644,56.6256,54.7818,66.3251
61.4264,66.3322,61.2778,53.5234,73.0526
67.2952,31.1445,65.6495,59.485,70.4746
30.3951,34.7175,49.1057,56.5197,63.0552
37.4364,42.4772,51.1734,58.1265,73.4359
16.4648,59.1954,56.4192,66.3094,61.5812
57.5288,63.2578,66.1154,59.7205,69.0608
30.5938,58.3166,51.9974,66.6806,73.4126
59.6424,67.2547,64.261,63.3802,70.166
28.4974,47.2806,67.7678,61.3112,76.6301
35.9816,37.5732,74.9152,69.7968,60.1783
19.6695,42.6945,67.1988,56.6695,69.5822
64.0347,56.6145,63.8543,66.9229,61.5001
30.4354,68.337,57.8803,68.5873,67.8364
41.9944,44.7191,45.7964,63.4098,62.553
60.9287,49.5156,57.1041,65.2763,81.7219
62.1466,53.5606,55.0873,59.8266,80.632
60.9393,42.8588,65.1384,64.4054,71.4566
32.8533,58.067,47.5939,64.6341,74.8716
31.3804,37.4749,68.4107,62.6858,78.5418
69.686,63.1753,65.6664,63.3357,68.0115
31.6962,44.2224,48.4807,61.6117,71.1269
36.1156,63.4414,66.7086,60.211,54.7148
29.6399,53.9982,63.9796,72.6271,71.8068
62.2715,60.8605,65.5675,53.4298,71.7255
57.8708,37.1792,70.2461,59.7994,76.0361
30.8661,49.2187,76.3953,59.1942,70.5799
69.808,39.0274,56.5673,73.0357,72.335
28.065,44.0328,53.5859,55.8928,68.3845
62.5119,56.6464,66.0392,69.5009,62.8318
33.0642,40.3246,67.6264,67.3351,65.0479
62.6369,42.3148,57.2613,57.4369,74.2644
54.2409,39.7724,67.4869,68.7282,69.9916
21.6683,46.4539,54.5763,63.5028,68.5344
70.1858,69.1201,60.9802,64.9623,71.7891
19.5842,41.8933,45.7032,58.2547,65.1314
27.6186,35.6777,77.2759,67.9393,72.4564
53.7445,48.3527,71.8575,60.2647,69.5229
36.2016,62.0237,63.1705,64.6364,66.2303
60.5943,39.9174,41.163,65.7384,62.4498
34.7869,55.7699,65.2818,68.0728,66.9831
55.9626,42.1183,50.8889,61.6078,66.2049
25.521,43.3851,63.2649,72.3865,78.8688
27.2341,39.8989,48.3703,61.7052,75.8597
40.5502,33.9092,44.4929,70.6896,75.9392
49.2685,39.0064,58.0544,67.5617,77.8565
25.8726,64.4763,60.0438,51.9509,67.3966
67.0908,61.7278,68.0671,71.8439,67.29
36.7701,66.5996,64.4746,59.4738,63.8866
27.4686,48.2874,60.959,61.4022,75.2427
51.1852,32.0106,57.8489,55.664,75.1765
25.4902,36.1279,57.2533,59.9222,65.5626
28.6099,67.1158,43.3293,64.8193,61.8312
27.5108,40.4716,65.4874,58.0037,68.9004
58.6031,41.2021,47.6089,68.609,65.7269
23.4661,62.6167,61.1014,61.1113,73.924
31.9743,62.5152,58.2905,56.0997,64.4718
29.3171,40.556,62.8638,79.0971,63.1023
37.6891,42.7339,58.3323,66.573,72.4681
31.9707,39.5754,66.2603,64.9743,71.6834
64.6675,35.3058,45.957,67.4111,69.8152
60.8615,61.5437,65.3258,69.2112,76.0031
57.9035,58.412,64.8776,73.8067,79.3406
58.427,48.5083,60.5509,68.0045,72.4722
69.7939,57.3915,53.9308,69.2912,75.988
56.5218,61.4314,66.1441,58.5952,75.5688
58.9626,35.0303,46.6444,59.0314,69.4033
61.8888,70.1483,54.0881,66.3407,60.2406
58.6697,60.7346,64.6273,70.8719,73.6832
52.6015,41.2739,53.906,59.3356,68.6326
26.3213,61.8506,62.6226,66.4697,69.3943
54.9611,45.5926,54.3122,63.434,69.7401
25.2714,33.5272,60.8475,54.6286,72.3195
67.4611,38.7331,49.215,65.5307,66.7286
53.3489,56.7251,65.5722,69.529,71.3289
63.6901,42.2578,64.6347,57.1308,68.6414
24.2296,60.7776,55.8673,69.0361,68.9554
55.3068,35.0965,62.7222,69.6788,66.237
65.8581,60.3172,63.0786,56.7997,68.516
27.4086,66.6197,48.2507,74.8989,61.0415
66.6471,59.1692,43.9464,55.9346,60.0528
31.1769,39.9641,59.1243,60.7203,69.4241
64.1188,68.4702,56.1441,58.0113,72.5636
56.1488,65.2262,52.6563,68.3534,71.9549
28.3103,65.29,51.8244,75.9954,73.4284
25.8421,54.0667,47.5872,75.1289,70.0111
35.7258,66.3706,37.1032,58.7797,64.7838
60.1796,43.8402,49.89,58.9004,65.9861
16.8991,65.8465,48.5934,62.651,67.7446
27.8028,46.6905,42.1687,54.3903,55.3969
26.3107,32.375,49.4908,52.1666,65.2767
24.7879,40.2523,73.7453,67.1056,69.2095
28.78,62.5648,57.4734,49.4509,74.2358
59.2465,59.3891,44.0959,73.3843,72.458
30.2139,43.0976,64.7589,58.7282,70.7217
64.4649,55.0606,56.8711,60.3092,58.9452
52.2221,54.4513,47.1439,67.8524,73.1474
30.7477,57.5996,61.8177,60.856,67.9094
58.9361,36.3176,59.09,58.0976,78.7361
41.8913,59.1586,63.3127,71.7902,70.2593
28.984,45.1276,67.7721,66.1782,69.6877
61.0651,39.735,45.9026,47.2299,66.1696
62.1363,55.907,73.0259,68.9672,66.2285
36.7543,42.6803,64.4499,65.3405,74.2285
54.4462,62.8043,47.2906,65.1059,75.3479
62.5994,39.7333,37.1684,64.7367,67.9099
60.9708,43.192,46.1229,69.4966,68.7159
28.725,43.1795,45.2648,75.0696,71.066
65.9989,42.8377,58.2319,68.0062,61.438
63.4961,60.6156,71.1158,65.3592,67.4842
20.9516,66.902,50.1297,66.6983,69.1711
64.6888,37.7281,52.5219,70.1627,70.042
29.5004,63.4196,63.4831,62.4765,58.1679
66.0467,61.6626,68.0748,57.3737,76.406
32.122,30.4733,44.9194,71.5353,72.753
69.0082,40.9397,63.5435,67.8072,70.2007
29.6774,60.8704,68.7676,69.7689,68.8239
57.1429,38.9011,53.7848,66.2471,65.6413
33.3504,70.7424,65.7516,53.8316,62.4739
28.1364,60.2598,62.4969,68.5193,72.6903
58.5297,67.1505,62.3889,67.28,74.6913
27.4443,28.589,49.3327,56.0587,75.0285
62.6268,42.647,58.8672,63.4091,65.4674
38.1603,61.633,56.8801,54.6201,76.9688
25.5829,64.3487,45.3183,55.5723,72.6192
30.1635,40.713,44.4211,70.9261,70.9696
63.9554,65.6722,58.0277,61.8762,62.0463
31.2691,60.458,62.2751,65.8698,62.3569
68.2847,44.3432,62.6491,57.7859,71.315
39.7336,45.5597,54.5061,59.3822,70.7879
26.2451,60.1264,46.4759,57.4936,69.2751
61.6909,65.8709,55.2418,59.4793,63.4456
67.9835,67.5371,64.2826,65.1881,67.0774
61.6414,69.0067,66.0419,61.5126,73.7496
29.6929,41.2139,62.1571,54.8191,66.2163
66.1196,47.6622,59.3469,68.9582,70.8479
37.1046,54.9136,44.0763,59.3563,63.0784
36.4543,62.0189,51.5838,52.8223,74.6872
28.9913,57.5757,47.324,73.3189,79.0768
39.2146,38.8817,73.6056,74.836,65.1637
32.2343,66.7243,58.0268,64.8195,66.6112
22.5296,70.1642,50.3371,68.2559,70.6471
55.4055,41.856,49.8181,51.5174,68.6916
21.9348,51.6677,53.2012,63.096,66.7995
25.5394,74.3082,61.2456,60.6446,73.4025
29.4583,45.4709,64.9627,68.0388,60.7211
59.0401,62.649,71.6314,59.794,65.873
64.0672,45.4371,57.5892,66.0798,70.7786
54.8392,62.0899,49.8489,55.1188,74.805
58.6834,54.4341,53.1277,51.8834,69.2688
28.5719,47.9098,46.1783,66.6732,68.4716
34.3616,54.5213,67.8024,61.386,77.2187
49.5092,41.7847,46.2825,60.5073,77.3559
39.4858,41.3806,74.9801,69.7266,74.4964
61.4884,34.6653,46.8103,63.3889,71.2689
15.3259,52.5132,56.2254,51.6694,76.2745
61.7846,36.8426,62.0304,58.7834,75.0945
61.2975,43.9697,54.5239,63.6292,72.6521
68.9728,67.4977,53.264,62.2402,65.5275
33.1321,61.14,52.7403,58.91,67.9993
60.9391,45.2604,46.6143,73.9253,71.6933
35.2287,68.2781,48.0537,68.4272,68.5052
63.4866,40.7972,48.4061,64.1644,66.1385
20.2415,50.7341,53.4819,65.6516,66.811
70.088,32.6439,46.3765,51.8198,72.8992
26.4582,55.3793,47.8603,58.3184,67.9951
25.6897,61.2913,51.5761,58.6854,73.2278
35.8261,55.0192,62.1674,63.6448,73.7087
61.3796,37.3053,63.922,73.5331,77.4297
18.8773,38.7342,76.4692,49.1373,68.1021
58.6651,70.4346,48.6108,61.2898,71.6321
36.5381,29.2118,64.4282,71.195,75.4321
27.981,72.4343,61.9473,59.6907,65.9488
66.8841,46.4444,50.7882,66.635,68.3808
59.1766,59.0488,45.8808,70.402,80.2536
27.8947,40.9087,63.8566,56.4827,65.0807
63.136,30.2054,58.0858,63.4977,65.6483
26.5754,66.2677,49.7807,57.119,77.1871
34.2254,46.0791,62.6655,63.0267,67.0691
28.4047,54.0117,50.3875,56.3869,73.0449
30.0572,42.0873,76.6382,56.3169,63.0285
63.4477,48.779,44.0382,66.0424,66.4416
39.4478,67.126,42.6945,70.208,64.8125
65.2851,38.7048,66.7058,68.0026,68.3114
33.5328,45.2836,60.4044,73.1628,61.1493
53.309,70.1775,45.6931,62.6403,76.3185
25.0645,61.3533,60.1511,60.6356,76.0079
30.5306,36.0048,51.2236,59.7917,71.0016
26.4369,71.7889,40.6332,63.9822,60.9357
61.2471,72.3416,50.3149,61.4444,68.4259
34.8225,52.7126,69.6713,67.3506,63.057
59.9003,39.9861,46.7818,68.4583,62.4047
26.4683,44.0633,66.6301,64.9344,60.0263
63.3161,38.2734,65.8839,77.1249,71.9441
59.5585,35.5053,42.7756,62.5251,68.6371
25.0419,36.4127,52.3482,59.2987,76.5336
29.8083,44.8637,64.9236,52.8666,67.2558
65.974,48.6672,68.3233,61.8556,66.5432
67.5198,45.5406,56.6471,73.6494,62.3088
54.8936,38.219,61.3016,70.1084,77.6937
54.5259,37.8223,69.6276,56.8501,64.1605
64.7028,66.2354,52.7045,57.3815,80.9197
56.1977,68.5358,71.8299,60.4028,78.5683
32.5523,36.3626,52.8419,76.4787,76.1781
29.2572,38.5745,62.3191,62.5265,74.5352
61.6698,59.3677,66.4628,68.5518,68.2534
35.7465,33.754,43.8445,53.9722,66.0674
24.2167,53.0833,50.6904,62.3534,78.5267
32.7799,43.657,53.6764,58.5007,66.5184
36.1914,59.4193,58.9423,64.7232,62.9454
61.8117,38.7864,61.4444,56.8663,61.6864
28.9627,66.8167,54.5799,61.042,74.8291
62.9634,57.3988,77.2555,64.6132,73.7418
62.9599,60.3965,65.9518,74.7476,71.4338
27.9222,40.7712,52.1442,69.87,68.9617
32.7656,65.9247,62.6836,68.0233,67.3306
57.542,63.9086,70.0236,58.5144,68.291
40.8023,35.1664,50.6094,67.835,66.9038
63.3602,36.0179,65.062,59.4555,73.4662
25.5963,50.7179,63.6981,51.5382,75.3731
57.7394,45.0721,52.1592,61.7876,80.2519
53.2875,62.4587,51.1807,65.0547,68.0479
58.4963,54.5647,68.475,61.9151,66.4684
20.0338,63.4992,63.5866,59.1442,68.4415
58.0342,62.027,67.6299,63.0125,78.7596
30.2931,32.2455,45.4483,71.5984,58.0895
57.5406,64.0684,67.0487,65.432,62.3828
28.646,40.0571,51.8983,60.8386,69.5135
57.0514,34.3007,43.9556,63.2367,72.8152
66.1221,60.2297,53.0008,68.9443,78.1904
62.6844,40.7136,44.8648,73.2449,70.7036
27.5256,38.7364,60.944,58.1783,69.5151
24.3561,55.0801,62.4026,66.8975,65.3572
37.2581,41.8973,62.3324,67.1896,63.5141
27.4369,54.0815,60.9876,59.8339,70.3518
59.2671,40.7067,64.9093,60.4261,65.5161
32.9422,45.37,64.645,72.7046,63.187
64.0473,41.8881,55.7762,65.5651,65.8802
28.9308,36.6451,48.977,63.2615,74.6883
63.0834,55.0641,49.5323,62.7501,73.5745
53.9133,38.7532,57.656,61.4746,71.0364
69.9797,65.7626,50.5727,60.9024,68.259
19.4264,70.1006,50.6713,58.2003,66.4907
52.6454,40.1284,52.9741,62.0718,69.3966
61.6219,37.0448,67.104,56.3675,67.0066
62.5338,61.8049,69.0806,63.1158,64.9347
71.8109,37.6414,53.9313,55.2444,64.8971
56.2591,39.1822,53.9752,66.2338,68.2273
29.1041,40.1447,68.956,68.848,76.1191
64.5129,59.9491,45.3311,69.2132,67.7711
58.2308,36.2749,67.3273,73.7913,67.5898
60.6854,67.8657,51.5216,74.0675,74.0617
60.9413,67.8679,74.4198,54.3362,68.9856
29.0329,68.4054,63.7543,62.3862,70.5937
28.7799,72.176,47.8199,68.0845,69.6344
