alpha,beta,gamma,delta,epsilon
0.3248,8.7239,10.9259,28.4256,39.9259
-1.6836,3.0182,25.0206,21.7404,38.6088
0.3865,8.8019,7.2731,33.3751,30.0803
2.4398,6.5681,11.171,30.056,49.9002
-1.1147,7.7453,27.1928,45.7979,51.1113
0.1244,10.1644,10.4933,18.8043,42.5862
0.6201,5.385,18.7642,34.9942,44.4892
-0.017,13.8743,24.1401,31.1153,50.2101
0.6055,6.1712,21.0357,32.0842,46.8922
-0.4161,10.1179,13.204,33.5447,38.2097
0.7895,12.4493,19.938,26.2345,49.2746
-1.6612,9.3192,26.8809,38.4562,24.4942
1.2353,5.8988,22.3388,22.4754,37.5201
-1.6589,13.2407,23.7454,35.9042,33.2805
-0.1433,12.6204,21.5893,36.3756,41.1766
0.3348,8.3575,18.3206,33.602,31.1378
0.3913,12.7304,17.5618,25.4238,38.444
-0.2233,7.8502,24.6372,23.1893,40.8774
-0.814,7.0925,28.2197,32.3299,50.1013
-2.1578,8.2619,14.4026,34.2694,59.7206
-1.0785,14.0731,24.0225,29.9439,32.6916
-1.4177,9.7645,12.5552,39.9002,41.5298
-0.3127,13.4454,18.8388,34.5536,53.8877
-2.3348,13.1164,19.2478,26.4913,33.5882
1.6056,10.736,14.7879,40.6279,36.6669
1.2202,8.592,13.6224,27.5716,42.4361
-1.121,6.0452,24.3255,25.4411,53.062
1.7299,10.9508,17.9011,37.4551,25.7241
0.5587,10.0936,18.5907,29.4585,34.2508
-1.2141,6.459,28.4208,35.7227,43.0381
-1.413,4.1717,19.5482,25.2451,39.3751
0.0282,11.74,10.0073,30.7497,32.9473
-0.103,10.6454,18.9297,29.7346,37.1928
-0.3332,12.1082,19.902,28.6856,44.5109
0.6207,13.2486,18.5243,42.229,38.2801
-1.2584,10.8496,17.2557,20.7881,43.0299
1.5182,15.4484,19.5139,30.1656,38.2875
-0.9493,13.2665,17.1121,27.0942,30.4499
-1.7391,9.5704,23.814,31.3555,42.8574
-0.5351,7.6976,14.2028,27.2412,45.8415
-0.6225,9.7369,14.5234,31.5467,48.1659
-1.3829,8.6273,18.1765,25.2369,49.5742
0.8075,12.3365,21.6855,28.0914,29.049
-0.3332,3.4891,16.4368,20.9203,36.5196
-1.0722,12.4343,21.2716,27.9331,24.9297
1.7993,5.1042,12.565,31.2219,48.0422
-0.5445,2.506,18.4247,41.1535,36.0237
1.781,11.4816,12.5813,33.2028,42.5465
0.4072,9.0398,15.2562,31.9875,32.5828
0.4594,13.678,18.0426,23.6941,37.1344
-0.1008,8.1791,22.2415,27.3327,32.0105
-1.661,12.8153,28.4352,34.8339,44.0101
-0.8397,11.3905,22.4694,30.1395,54.2487
1.2235,12.5026,23.8461,19.175,48.4451
-0.6578,8.4257,14.0301,28.98,43.7177
0.918,11.2542,25.715,39.8878,38.0358
-0.1342,11.0945,14.3593,16.0706,38.5081
-0.08,11.9085,21.3432,11.9608,40.8654
1.0675,17.5053,17.9134,36.4192,42.8137
-2.5311,14.3507,17.8722,33.8713,52.2633
0.6611,6.7495,19.3699,40.8052,40.18
-0.4035,11.1906,21.8796,31.1272,39.2077
1.2047,7.7803,14.8797,19.3043,31.7971
-1.6254,8.0964,18.7295,33.163,47.3215
-0.0863,14.9224,15.6264,25.899,33.5667
0.9989,7.3778,27.2759,32.7885,36.4351
1.7044,8.8704,19.2942,24.0464,43.4333
1.6884,8.3243,19.5656,39.1431,40.5208
-1.0861,7.1634,16.4979,15.9032,52.0208
-0.5636,8.3004,23.8805,23.3137,40.1662
0.5146,15.8322,21.7722,23.3927,46.9836
-1.3787,12.4561,20.4486,35.1122,30.0226
-1.615,13.9942,30.3317,20.5138,41.614
0.7837,10.9062,15.6743,40.2902,35.6301
1.8076,12.1093,30.4441,35.6843,45.5136
0.3401,9.9726,13.0621,21.5996,43.3693
0.5835,3.5365,20.4742,25.4726,28.3804
-0.1146,12.0803,14.9827,20.7816,40.0461
-2.1693,7.6499,20.3219,26.5337,21.618
-1.4056,13.6128,10.3279,24.0515,28.3391
0.2074,13.651,21.2663,29.8059,25.4132
0.1624,7.2693,21.4482,29.6148,34.2375
-0.9903,11.3008,15.4982,27.6127,50.6958
0.0296,10.1829,12.069,29.753,35.3617
1.6368,12.7961,19.5531,34.7004,40.6419
-0.6872,8.2552,29.6539,32.7042,32.9095
0.6069,9.6706,26.8188,28.8803,24.0231
-0.8049,10.5393,18.5212,27.6828,37.7454
-0.5354,8.8172,20.0326,24.1317,34.0837
-0.5192,12.8906,18.0318,37.3558,58.5176
1.85,10.4878,22.4954,39.6732,43.2234
1.1686,11.8456,18.551,29.3302,53.941
-3.1978,8.9671,25.5806,32.3894,39.7398
1.1845,12.504,17.8147,38.8882,47.5749
0.3113,9.6532,16.644,30.9541,36.3648
-0.127,7.5559,19.2704,34.5975,33.3941
0.6003,10.0657,20.7386,30.6033,45.3701
-0.1958,8.1226,15.3465,49.7585,39.899
1.5279,11.1765,21.4294,36.8493,40.9835
0.8521,9.3534,12.0929,24.3899,43.2498
-1.3201,10.1048,19.3519,42.1163,34.18
0.7729,6.0008,16.6862,23.3486,25.9106
0.1575,11.1044,17.4143,25.7721,42.5164
0.589,13.7361,19.6472,35.1313,48.0986
-0.3898,8.0233,21.106,25.6978,36.8693
1.0046,10.8243,14.8537,26.8633,42.6673
0.919,10.666,17.5503,39.4371,33.289
0.9811,7.1464,25.3123,24.9535,47.9477
0.1918,10.3645,12.1721,33.3934,44.7037
-0.0147,10.5714,25.6164,36.2746,32.1204
0.9315,10.4642,21.0629,33.0427,49.7221
-0.8066,13.4725,23.9398,36.6396,46.4227
0.8398,4.8344,24.8517,25.433,53.9619
-0.7209,13.494,16.9857,23.8118,59.2346
0.0039,8.9866,18.2555,29.8894,19.8235
0.261,10.2377,9.6147,38.1232,34.0802
-0.1514,12.5324,26.8887,21.8871,49.5985
0.0718,11.3441,24.3737,17.3012,36.4486
1.2464,10.7787,18.7504,33.8019,52.3516
-0.0179,-0.6215,22.7514,29.6714,30.9466
0.3076,7.6481,27.0204,28.7703,48.6573
-1.5211,7.9596,18.4265,32.5096,37.9959
-0.9162,5.6933,14.8258,30.7262,47.2736
-0.6683,12.4375,16.7149,28.1371,41.3724
-0.1083,6.2744,18.1977,27.1835,18.3631
0.5605,5.8316,12.7163,17.788,29.5044
0.4478,15.152,17.134,30.2862,27.5473
0.3639,14.7299,25.9729,17.6203,48.3351
-0.3946,12.2648,16.0927,38.0081,40.4217
-0.8661,8.0333,23.7032,32.1352,38.9198
-1.1336,12.6908,23.7458,31.7242,41.3718
-0.3367,15.4225,19.4322,33.4349,34.8128
0.6446,7.1907,25.7111,36.1491,36.9712
-0.9954,12.545,22.3628,17.344,39.2714
-1.2855,8.8474,13.6841,30.422,33.6272
-1.7276,14.8174,23.2149,33.976,22.1851
-0.5875,13.3066,21.821,33.6023,51.1683
-0.4622,6.7202,21.2614,25.9318,45.1418
-1.5091,10.692,21.1187,29.3255,31.9933
0.8922,8.0454,12.8298,19.6629,53.9044
-0.0533,13.4122,22.9552,36.5553,35.4937
-1.7625,10.2436,20.0459,40.5877,38.6093
-0.0168,10.627,22.1788,23.969,38.8711
-1.3356,9.6346,13.5725,23.706,43.1455
0.4328,8.2876,19.0914,23.7863,29.518
-0.1363,10.8811,12.6157,29.3465,49.7498
0.3586,6.6976,17.1365,30.0437,44.488
-1.4238,7.2583,20.8076,25.1034,30.5873
-0.549,10.5211,29.6198,20.1609,38.6846
0.1492,7.2778,27.7973,31.0452,38.7147
-0.63,3.0689,20.0244,38.2209,49.6169
-1.5754,10.083,18.154,27.3783,33.5106
0.3245,10.2226,27.5267,38.7652,70.6245
-0.1398,10.8366,12.7661,36.2133,34.526
-0.2818,4.4128,17.6208,24.036,26.8242
-0.7323,5.2034,6.0742,26.4202,75.0621
0.6143,8.9181,20.7367,24.1681,49.0075
0.6877,7.7931,19.3857,43.692,27.7427
-0.5342,10.959,16.2466,30.7599,37.788
-0.6788,8.9538,28.7633,27.4479,22.464
-0.7514,16.7519,28.596,30.6851,43.2024
-0.9296,11.8306,24.1344,29.7491,38.2805
1.1218,6.9667,17.8796,42.3402,47.7998
-1.0018,13.3012,24.2711,35.3921,41.9052
0.5471,10.0391,26.0924,40.6847,51.812
-0.1542,12.4433,12.0779,25.2199,37.8954
-1.1832,11.0076,15.7578,25.8332,49.6053
-0.5947,8.0362,5.8042,23.2448,40.1245
0.6288,12.7421,9.1532,31.3777,38.2156
-0.5099,10.7379,15.7125,26.7683,52.9177
2.383,13.0244,21.84,24.743,33.1392
-1.6655,8.2643,18.3672,27.0099,34.3398
1.4725,8.7482,17.1121,24.9253,46.2811
-0.3703,12.4019,24.2382,27.4263,34.5418
-2.1754,4.8988,16.7363,39.2163,30.3701
-0.1069,10.3159,20.5265,29.4885,46.4333
-1.5258,15.161,21.5194,25.7633,39.9603
0.0854,7.2071,20.5931,44.5446,32.3922
-1.1515,12.871,28.8233,30.6088,51.2893
-0.3097,8.4667,12.8742,33.0419,42.8525
-0.3323,10.2929,20.5147,29.1921,39.0377
0.1321,9.5277,32.3371,26.6652,41.0753
1.5722,11.8539,21.8521,22.6126,33.174
0.4909,5.121,23.3387,26.5884,39.4798
0.6417,10.6566,21.0337,30.4254,30.7515
0.5246,12.0086,21.9101,27.8063,20.9184
0.4115,14.85,25.0226,24.9694,24.0182
0.1651,10.7001,29.6684,33.0838,54.1343
0.534,8.5385,19.3651,34.3273,33.8306
-0.8152,11.19,25.1458,29.7428,27.6546
-0.1545,8.9434,19.9496,25.7787,28.7486
-0.4075,10.8759,18.0714,22.6785,41.0396
1.2365,12.7827,15.0776,33.2096,38.3888
-0.5234,8.4081,19.7665,15.2771,36.5737
0.1913,10.112,29.903,36.268,24.0641
-0.3663,6.721,20.8305,37.2734,52.3709
-0.2183,8.1317,21.2786,33.5012,32.0558
-0.4233,10.9657,27.9844,22.107,46.8032
-0.0461,8.5275,23.6216,20.5845,51.6929
1.064,13.3481,25.4839,26.5714,35.4236
0.0969,7.3525,23.081,22.3827,51.6192
1.1199,9.3064,21.509,35.7402,43.8744
-1.5426,14.5056,22.6583,18.3553,56.8382
-0.8457,7.6867,18.8901,30.8215,42.8158
-0.9111,12.7611,22.0505,34.8735,47.1963
-0.4525,5.8983,19.9387,38.6113,47.5697
-1.7913,16.8614,19.974,35.4994,38.9933
0.8137,11.826,24.4427,42.6641,36.8313
-0.0327,11.1899,17.0412,27.2824,49.1412
-2.6222,6.8482,26.0275,21.2173,25.1364
-1.0476,7.3984,10.3355,34.2529,35.3146
-0.1979,10.7084,21.6687,24.1935,49.4282
-0.8744,10.8843,19.095,34.3409,40.9762
-0.5403,5.9919,18.4388,40.1416,37.3482
-0.6726,7.9166,16.3911,26.8234,33.4892
0.4104,3.3709,19.0157,34.5623,24.4265
-1.2304,9.6138,22.4784,28.6239,20.2106
-0.1629,10.696,21.6287,30.8121,44.4353
1.4522,5.4475,20.1143,32.3626,44.345
-0.1508,11.6306,19.0389,40.1929,62.5903
1.3178,4.2054,19.3492,36.1772,19.1231
0.5291,9.397,17.4619,24.3987,39.7366
-0.7052,11.4405,12.9036,18.4519,42.9228
1.0497,10.7681,26.2315,27.7924,42.4758
0.1734,5.7587,12.8717,18.3328,49.1438
0.9817,9.9471,11.1374,30.8062,45.754
-1.6893,7.3947,25.0637,29.4882,27.7353
-0.3298,4.8097,11.0951,27.4213,39.1871
0.7361,9.4543,21.0612,28.6158,57.1883
1.7382,13.3433,21.0098,11.9696,29.3057
0.4313,14.9419,15.3968,22.0765,26.9283
-0.7043,12.3382,20.3995,29.5483,49.4256
0.9541,8.0543,25.9679,34.8575,40.197
-2.2914,10.8369,13.9514,29.6473,43.6623
-0.9319,7.3525,22.8758,25.2319,44.2273
-0.5998,9.3257,23.3666,20.4303,36.3052
1.4002,15.4773,14.4598,20.4585,30.878
0.1886,11.2677,16.93,44.0529,26.915
1.2689,8.6147,27.6944,23.7382,15.6715
1.557,11.0359,20.9621,34.8135,45.277
0.6881,12.7915,19.4317,39.2601,39.2604
-1.337,7.3593,13.4345,43.2419,55.6363
-0.9169,10.6676,18.1515,40.5675,39.9414
1.7815,11.9452,2.7861,35.042,45.5916
0.9298,4.6413,22.7365,38.7989,39.21
0.5078,13.1415,18.7056,32.8392,42.7758
0.5627,3.3847,15.772,30.8166,55.9366
-0.9424,9.6343,19.2457,22.4668,47.0664
-0.2721,10.5379,18.5178,32.9205,39.2684
-2.556,14.0945,19.0355,28.1284,43.1904
-0.8093,8.6841,27.8279,29.3247,48.9009
2.0244,9.7692,24.7487,24.4079,35.052
-0.8622,12.5069,22.9885,19.8428,27.6749
0.6832,8.0614,22.7663,26.5981,38.4841
-0.3023,11.9141,21.2191,30.7464,16.1907
0.6312,13.4694,16.8957,35.4264,41.3598
0.7574,11.1092,30.8714,20.62,46.9425
1.6431,8.0158,20.1827,32.6585,43.053
0.1188,12.1093,15.8519,19.4836,30.6276
-1.0833,8.6477,16.5701,35.6252,55.3694
-0.6462,7.7104,22.7717,25.9415,49.1172
-0.646,10.7735,17.2884,40.4161,44.6868
0.0291,6.4715,18.7695,29.1712,30.0435
1.0343,8.8047,10.5402,28.2685,23.2557
0.0438,13.4408,16.3623,22.8979,50.9082
-0.3542,15.1241,22.3902,48.7739,47.4121
-0.1616,12.8958,26.7301,17.7129,34.5834
-1.7695,11.7893,26.8975,34.7151,42.0968
1.1985,11.8607,10.1866,25.5176,41.4184
-0.7156,11.3951,19.6307,31.7668,24.6461
-0.1294,7.8635,17.5747,41.0117,31.3551
-0.971,18.9023,22.9486,33.6072,45.3897
1.6397,8.9437,22.3109,23.4711,35.5648
-0.224,9.5689,18.7919,27.1641,52.767
0.2884,13.8388,17.5399,37.6536,48.386
-1.557,3.4137,16.8521,33.0112,16.5916
-0.3054,13.0473,18.8911,35.4299,37.4931
-0.7335,11.526,27.7963,24.7208,26.3081
-0.7744,9.6185,17.0865,35.5825,35.3186
0.5857,8.2373,25.9407,23.4621,26.2353
0.6706,4.7123,24.4326,26.2001,36.596
1.1355,8.9916,12.1485,35.0274,46.0234
0.4211,8.3186,20.0259,22.6022,36.9192
-1.2003,7.8016,21.0278,30.5379,54.8873
-0.0718,15.3251,17.4234,22.6432,50.8896
0.5915,8.8918,19.4941,35.8308,27.9842
1.0928,11.7693,14.7708,32.8181,48.4494
0.093,10.3551,22.9539,26.35,39.5051
1.857,13.5641,22.1881,25.9723,40.4906
-0.4945,9.6056,14.5091,33.0073,32.8699
-0.1385,6.4408,20.0152,29.0658,33.0822
-1.1396,14.1213,21.3711,46.42,49.7345
0.504,8.1929,16.4218,15.2667,46.0603
-1.3947,9.3187,19.7708,37.9642,43.9003
1.1713,10.7816,16.7344,34.9982,43.7207
0.1035,15.4657,15.4568,28.4775,44.7739
0.9363,14.4841,25.2514,41.0472,46.1685
1.8191,12.2773,9.4571,37.3013,29.0459
0.2493,4.0432,25.3327,32.2845,62.1494
0.1782,8.8196,17.2403,36.0701,42.7388
1.1307,15.1473,23.9463,36.9372,45.4726
1.0144,11.0679,19.0581,33.6028,30.2595
-1.8473,6.7003,22.7841,22.9087,51.4738
-1.1845,9.9899,29.4493,40.7845,40.3394
1.2604,11.3672,18.5121,34.0802,31.5818
0.9092,5.5708,16.6322,34.2504,40.6204
0.3713,14.8158,21.4072,18.1339,49.7915
-0.5087,9.9005,19.0073,21.0961,34.8847
0.1216,14.5036,20.6928,24.3509,44.273
-2.0852,5.6252,8.6708,27.7864,53.9584
0.295,10.2266,13.3981,25.8168,34.806
-0.4583,9.0645,22.1175,30.0822,44.1506
0.8386,13.6756,20.6215,14.1065,36.1694
0.1028,3.6788,20.2067,39.4184,32.3722
0.0854,9.8908,24.0822,40.2795,50.1979
0.2542,8.6159,20.5108,39.2095,43.5059
0.8603,16.0471,18.4776,19.9928,36.7171
0.0928,14.6023,19.3336,37.5621,34.4633
-0.1667,7.9181,13.8986,36.049,33.3705
0.4477,4.0661,14.1082,35.7475,31.6693
-0.375,7.7965,18.488,23.1532,24.647
-2.0037,8.7665,15.637,24.7385,39.0153
1.0377,8.1607,20.4974,39.9711,31.3323
0.4249,10.0173,22.0245,44.1621,36.3054
-0.7315,10.0425,25.9997,39.7057,38.0917
-0.2021,8.4543,20.3738,38.0028,33.8103
0.8114,7.8408,15.9605,31.3445,46.2167
1.5308,11.7977,23.8485,43.0604,37.8234
-1.1486,10.2277,14.2493,21.0335,45.6786
0.2715,8.9147,27.4018,27.6576,16.5058
-0.5404,11.7085,11.8638,30.4614,31.3157
0.5864,12.1117,22.7717,37.318,46.1337
-0.137,8.0357,13.8805,21.8766,34.1533
-2.3728,13.4292,26.4204,33.3496,32.4639
1.6002,12.5006,22.2113,33.9691,40.8468
-1.2711,10.8855,10.8354,14.9479,41.5198
-1.6283,9.6522,13.5063,23.747,32.0624
-1.3864,9.4936,17.7688,27.2715,57.1049
-0.2444,7.7119,19.449,36.0344,63.14
-1.464,10.1921,25.3891,34.9357,33.8493
0.464,12.5406,12.9813,35.3782,41.5578
0.628,13.1044,20.3885,17.2945,53.2962
1.2809,10.0274,27.7006,29.738,26.3644
0.4662,10.6836,9.3681,31.0629,32.2675
-1.5827,8.5166,16.8722,36.8905,46.83
1.1752,9.1472,17.9501,37.6738,41.4398
-0.2005,7.9057,18.1641,26.6696,43.1286
0.9153,5.3258,32.614,41.155,34.7315
0.8557,13.1076,29.6973,38.4978,52.1082
-0.4009,8.5683,24.5622,21.2797,55.608
-1.9064,12.5318,31.1686,22.8558,36.3684
0.5828,6.0578,17.9441,25.2895,30.3828
-0.5283,11.7246,21.7521,39.4673,24.2193
-0.0982,8.573,21.5532,27.537,27.0074
0.623,5.0646,22.8034,36.3088,39.9827
0.5429,11.3807,25.2675,25.4725,35.945
0.9222,8.8407,14.4378,33.1218,36.9093
-0.7528,10.8398,20.2367,23.6516,15.4808
1.5949,14.7223,15.8149,27.1668,52.3201
-0.5427,12.6343,15.3303,31.923,31.8377
0.0033,10.5806,21.3461,29.8669,42.2581
0.8101,13.2786,23.2914,31.9066,40.5648
0.1772,13.108,19.9954,25.136,28.0685
1.5315,8.3718,17.2299,39.904,47.6513
-0.8814,18.8129,26.7948,41.9305,39.537
-0.6467,9.7089,14.9243,36.9996,42.7404
0.8097,10.6153,27.294,32.5833,40.1856
0.1739,11.6701,15.4993,45.2897,39.9696
1.623,14.5015,28.872,32.9102,31.45
0.0714,5.1778,8.7323,7.937,39.745
-1.8662,15.2147,30.2849,29.4607,28.9052
-0.5318,7.5752,12.9118,19.9883,51.1088
1.2325,15.5518,16.9231,21.6332,43.6109
2.7435,12.4965,28.8848,22.7863,52.8846
0.4681,7.5566,23.3819,26.5837,53.3768
1.8279,13.037,16.5544,29.2966,50.8444
-0.0847,8.7589,14.4431,45.8454,33.3545
-0.8365,16.8621,23.5596,33.1476,39.2162
1.0908,11.3993,22.1145,23.1187,45.6299
-0.3105,12.4614,24.2984,24.8519,40.8312
0.2234,11.7001,18.6358,24.1073,34.3022
-1.3048,8.764,30.2172,47.8341,38.5802
0.6055,11.3589,20.7779,30.819,32.9103
0.8657,11.1411,11.6563,22.0392,49.411
0.9043,10.8117,15.1608,29.9262,47.8279
0.2631,8.1967,20.9027,25.4346,42.6085
0.7347,8.6614,18.0477,21.143,30.6568
0.5714,6.1961,17.5129,31.1933,46.3195
-1.9571,6.6671,18.2411,23.247,44.9864
-0.4679,7.6557,19.4251,37.4449,49.0813
0.301,9.1408,22.2156,27.9232,39.1312
0.4438,10.6147,19.7457,32.1837,53.5221
-0.9968,13.6305,20.8287,31.8082,37.8843
1.1761,10.6272,24.497,53.7382,35.5665
0.4779,10.7118,15.7345,29.203,25.6906
-0.288,18.2244,23.7437,16.8517,27.2016
1.0875,6.5067,25.3849,27.2202,41.4765
0.0705,5.0159,22.0357,23.691,26.7687
0.3531,7.2598,15.4206,20.2567,42.622
1.4196,4.9339,11.2857,35.5405,51.7348
1.2151,11.1847,21.4471,30.7219,49.3125
-0.1052,14.7915,17.4809,27.0777,43.7282
-2.135,10.6606,21.5977,29.1107,46.2843
0.0726,8.4248,22.5508,33.6888,30.3609
-0.4657,4.8837,15.5086,26.0325,33.4608
-0.6108,12.9402,23.9664,35.3467,44.4781
-0.3823,9.1092,17.7619,28.7672,45.793
2.2378,10.3444,22.1632,36.6581,26.0838
0.7003,12.0602,19.7352,35.0444,54.5602
-1.6783,10.1194,20.3319,31.6371,44.6326
-0.2086,10.0994,19.0852,20.9222,31.1446
1.0376,9.7724,24.381,34.5757,34.0195
0.4176,11.0254,26.5025,29.7564,51.4685
-0.0269,11.7357,21.5406,25.9102,55.085
0.2165,9.3642,23.7014,24.2236,38.4364
-0.0197,9.6267,19.3551,33.8225,34.3433
-0.1252,8.4758,26.7526,21.7737,37.3273
0.836,7.7776,22.0067,44.4285,34.1026
-3.0051,10.0691,21.9924,38.2915,48.131
0.1428,8.8541,24.8764,25.4023,34.2407
1.2421,8.8364,17.2879,29.3175,28.8822
-0.5016,11.3072,14.9185,27.1239,45.9706
-0.2304,8.4585,23.6349,30.9861,40.2795
-0.9406,13.6895,19.8769,23.7944,43.7581
0.6261,8.9898,15.7456,24.6795,37.3305
0.967,10.0075,18.8702,28.2112,36.5524
-0.3272,7.6853,26.9657,20.4705,39.0728
-0.8796,9.8488,22.8974,34.5889,32.0417
0.0801,11.0601,22.1669,17.6192,55.3884
-1.3017,8.7419,10.2344,21.797,36.4626
0.2886,15.8673,21.6438,20.0119,36.3587
-0.2251,11.5689,21.3379,34.6705,54.422
-0.4134,8.2774,21.9127,30.3083,42.6529
0.3722,14.762,16.6723,21.3725,24.0971
-1.5128,3.3553,22.6191,43.5354,43.4512
-0.758,11.1871,18.1674,27.5494,42.6523
0.3476,8.4742,26.3953,27.1119,30.9336
-0.3034,12.8172,23.0355,35.3012,57.3471
1.5287,13.4396,25.6025,30.2187,32.8177
-0.3081,7.0489,20.6002,16.8822,45.6663
0.4438,11.1436,14.365,25.7787,20.8602
-0.9127,11.2238,29.6987,30.0213,49.0333
-0.7531,7.8098,25.1939,25.2181,29.1672
0.3478,8.6466,18.73,34.441,37.1311
0.1491,8.8825,25.4708,29.857,51.3182
0.8327,11.2215,30.9513,39.1364,38.359
0.4454,12.7305,7.1226,37.8576,36.085
0.0048,10.2576,13.5201,37.6522,37.6887
1.1732,6.2257,26.4855,26.5734,48.4141
0.0182,1.2959,24.8823,28.2733,49.0557
-1.162,3.8047,11.7715,30.5394,46.1537
-0.2259,13.0058,21.1795,20.3047,43.5431
-0.328,11.5262,20.7821,22.4043,31.3977
-1.3595,7.9029,13.2888,31.2667,34.9045
1.4458,8.9677,21.8769,27.4503,50.5094
-0.7175,10.2979,18.7513,35.9377,26.8222
-0.458,14.1485,24.4475,31.2808,26.5548
0.2472,8.3602,22.2478,30.7071,28.6713
1.0407,9.4478,16.5244,25.7609,38.7483
0.4859,10.6685,23.6573,40.9764,48.0435
-0.5217,15.7351,18.6813,32.1388,47.6103
-1.0035,11.7327,19.1492,23.3348,34.1329
0.2134,3.4377,19.4496,26.3545,45.0359
0.8467,8.1569,13.9835,39.1552,34.878
-0.8085,9.3479,13.2629,38.2959,39.4037
-0.1276,11.5792,16.3026,33.9749,43.4357
1.2925,12.2739,20.6608,33.6422,59.0766
2.4352,7.8361,18.0885,28.9585,39.6717
-0.0172,13.7259,15.4187,32.1431,38.5658
-0.8238,11.3578,28.9633,24.2727,52.771
-0.7031,2.9265,25.3932,36.9394,55.3918
0.5207,5.4543,17.0704,20.8429,35.7527
0.3085,12.3186,16.6384,28.4262,40.1833
0.8759,9.5702,24.7303,15.5571,36.2616
0.0825,13.4126,17.2815,17.9629,41.6302
1.7971,8.011,20.4302,44.1544,42.5854
0.6057,6.0222,23.3108,26.1943,48.6246
-0.0912,4.8685,25.6373,34.4806,35.7979
-0.0603,12.2708,22.9634,27.8949,35.3495
-0.3395,6.2556,8.355,16.6983,42.5674
0.9119,10.0787,25.1378,35.9381,49.0773
