alpha,beta,gamma,delta,epsilon
-48.0294,12.9099,-9.5932,12.2746,31.8426
26.6832,9.9552,26.2821,3.3042,40.5436
-24.5362,48.0641,-21.7721,-8.556,25.877
-49.1448,18.5712,23.7496,44.0516,44.2978
34.344,-7.4137,17.2965,53.3621,35.1615
-37.8922,-4.398,18.682,16.6961,42.5352
42.7092,27.9458,-14.2493,42.9163,-4.5749
-43.0826,-13.1218,-8.3013,-10.8189,31.366
14.9479,35.1914,-19.1345,48.3982,35.9835
-14.4261,-35.4217,-17.0718,-6.6087,8.7068
35.4383,-22.5689,4.1252,45.3215,-3.4728
-38.2508,-5.8229,46.9655,31.3373,-3.4042
-19.3004,-31.9073,-1.543,21.7121,52.9221
24.0763,-6.8258,-17.7324,54.6832,57.2165
27.9225,-33.4897,-0.9034,1.6528,14.0686
-17.1175,-24.7746,50.3035,22.3922,22.5749
30.0361,3.9673,32.9716,14.0376,2.4497
-24.5503,0.3855,-2.9264,34.7975,8.6424
-11.3157,13.4303,-4.7748,30.4433,7.0568
-2.5351,14.5688,51.6363,26.1251,13.7674
24.3055,47.6985,32.4609,-10.0231,9.7631
-8.6752,23.9381,52.1422,19.6668,21.0464
-28.3902,-24.2144,47.3651,42.3185,28.5026
-36.5081,46.1516,-11.2491,36.6641,15.7647
3.6722,-5.1198,43.7653,26.7575,19.0013
-25.1941,-3.0595,-23.1371,53.6505,55.7265
40.6114,-23.498,29.6909,25.1604,5.9136
9.5336,49.4389,35.9585,-4.3761,50.9083
-48.134,1.371,11.5009,32.8763,10.0254
48.681,-9.2676,35.3149,30.828,43.6165
14.0351,10.8533,7.8861,22.9383,33.4561
9.3251,-24.3999,-20.767,41.6036,0.6465
-26.6369,-26.3282,38.7276,-1.3825,23.669
-46.3869,-0.8117,-28.9973,46.4665,-2.4201
38.8166,7.4459,13.9706,27.1849,32.3359
-10.6867,44.2968,10.6211,31.7575,-7.2363
18.8299,-15.5429,27.8194,-8.5752,3.6546
23.1998,-6.7565,-24.2542,43.2598,39.2074
46.0019,-21.0636,-4.6307,27.7199,29.1602
-41.2935,-12.1244,-19.8713,-17.4366,31.4511
-30.943,44.219,26.9587,16.0326,43.6254
8.2349,-28.2953,45.6899,3.4654,-2.6627
-3.0851,-39.8328,-18.1127,-5.4787,27.0343
-10.2081,12.1675,49.4732,9.1232,43.799
37.2201,30.9243,-1.9645,54.8353,55.421
-38.901,0.8996,49.0379,5.4716,50.1007
31.1,35.5591,21.6674,5.8493,30.9585
43.2969,6.3289,41.233,4.0701,47.119
-24.9617,-12.4468,4.6687,-16.6826,15.6663
-0.5633,-22.8191,-19.7222,4.6845,36.9538
43.5273,47.0782,5.1644,-2.7627,-3.3371
1.3839,-8.6513,-25.068,-16.0224,33.4884
-28.4729,5.0661,46.8099,35.8414,47.3473
-45.1606,0.4377,35.9717,29.9461,7.1023
15.2096,-32.3851,8.6718,54.8557,25.4079
-16.2036,42.3892,32.0836,25.3247,-7.3247
45.1583,4.7194,36.576,3.2855,9.5245
-36.0086,-20.9927,35.3052,45.9137,16.8898
-26.3834,-1.6203,3.783,4.5081,6.0311
38.3421,43.9457,0.8503,54.4363,22.6128
-9.9978,15.8996,27.7891,21.806,33.3542
12.386,-6.3781,32.9867,37.7492,52.3502
44.8946,11.9352,-23.9345,22.0722,49.2123
-1.3224,19.2074,8.577,5.0853,15.4214
19.0687,-15.2257,-2.5011,35.492,31.1937
27.4745,21.1761,51.0001,10.5436,6.7707
15.9697,2.5442,-0.8805,-6.3688,6.6698
-18.2675,46.2797,12.5662,-14.7828,42.3483
